Maneuver Error Summary Generated 07-Feb-2013 19:30:31
SBoxMargin =     0.00 asec, 3-sig init roll uncer =    30.00 asec

 obsid MaxErrYZ Seg start_time            stop_time             ssss    angle    X-axis    Y-axis    Z-axis     initQ1      initQ2      initQ3      initQ4       finalQ1     finalQ2     finalQ3     finalQ4     iru-X    iru-Y    iru-Z    aber-X   aber-Y   aber-Z   del-Y    del-Z    delYZ   iruadjYZ totadjYZ syserr.Y syserr.Z ranerr.Y ranerr.Z
 13276    20.31  0  2013:042:07:28:28.811 2013:042:07:47:08.280 -+-+   34.959 -0.332576  0.614043  0.715782  -0.56498658  0.34723834  0.74602887  0.06047005   0.60787932 -0.38930345 -0.65506262  0.22320063     0.00    -0.00     0.00     5.99    -6.90    -6.88     0.00     0.00     0.00     0.00     9.74     6.90     6.88    13.41     9.27
 14962    33.02  0  2013:042:16:13:45.811 2013:042:16:44:05.980 ----   87.013  0.011472 -0.984023  0.177669   0.60787932 -0.38930345 -0.65506262  0.22320063   0.04872333  0.51309065  0.85653999  0.02651906    -0.00     0.00     0.00    -4.60    27.37    -0.80     0.00     0.00     0.00     0.00    27.38   -27.37     0.80     5.65    29.42
 15611    42.76  0  2013:043:01:46:55.980 2013:043:02:14:55.835 ++++   76.489 -0.217307  0.824026 -0.523220   0.04872333  0.51309065  0.85653999  0.02651906  -0.56839335  0.31705714  0.75798943  0.04307894     0.00    -0.00     0.00    12.40   -14.14    16.11     0.00     0.00     0.00     0.00    21.43    14.14   -16.11    11.15    26.65
 53954     0.30  0  2013:043:09:38:52.152 2013:043:09:42:52.152 ++++    0.000  0.478852 -0.877896  0.000000  -0.56839335  0.31705714  0.75798943  0.04307894  -0.56839335  0.31705714  0.75798943  0.04307894     0.00     0.00     0.00    -0.00     0.00    -0.00     0.00     0.00     0.00     0.00     0.00    -0.00     0.00     0.30     0.30
 53953    30.70  0  2013:043:10:45:09.998 2013:043:11:11:41.000 ----   69.825  0.183025 -0.932338  0.311845  -0.56839335  0.31705714  0.75798943  0.04307894  -0.00053348  0.41785244  0.89934368  0.12876335    -0.00     0.00     0.00   -13.06    18.57     0.91     0.00     0.00     0.00     0.00    18.59   -18.57    -0.91    12.14    25.13
 53952    23.68  0  2013:043:12:39:31.000 2013:043:13:15:13.678 -++-  111.201  0.880292  0.007582  0.474372  -0.00053348  0.41785244  0.89934368  0.12876335  -0.25115156 -0.89031781 -0.25498530  0.28149525    -0.00    -0.00     0.00   -11.84    -0.14    -6.41     0.00     0.00     0.00     0.00     6.41     0.14     6.41    13.00    17.27
 53951    21.94  0  2013:043:14:00:30.767 2013:043:14:33:47.840 -++-  100.280  0.870325  0.032934  0.491375  -0.25115156 -0.89031781 -0.25498530  0.28149525  -0.30227579 -0.63911631  0.53120330  0.46688622    -0.00    -0.00     0.00     9.92     0.67     5.85     0.00     0.00     0.00     0.00     5.89    -0.67    -5.85    13.49    16.09
 53950    28.71  0  2013:043:15:30:21.050 2013:043:16:15:44.305 +-++  154.744 -0.864231 -0.008935 -0.503015  -0.30227579 -0.63911631  0.53120330  0.46688622  -0.14148073 -0.74014252 -0.64938641  0.10232075    -0.00     0.00     0.00    -6.70     0.24    -3.99     0.00     0.00     0.00     0.00     3.99    -0.24     3.99     6.89    24.72
 53949    12.97  0  2013:043:16:35:52.081 2013:043:16:59:28.152 +--+   56.705 -0.868520 -0.022051 -0.495163  -0.14148073 -0.74014252 -0.64938641  0.10232075  -0.00053348  0.41785244  0.89934368  0.12876335    -0.00     0.00    -0.00     8.52     0.29     4.69     0.00     0.00     0.00     0.00     4.70    -0.29    -4.69    12.68     5.27
 53948    25.63  0  2013:043:18:27:18.152 2013:043:19:04:08.408 -++-  116.269  0.873647  0.019429  0.486173  -0.00053348  0.41785244  0.89934368  0.12876335  -0.25295001 -0.89023500 -0.21790627  0.30986256    -0.00    -0.00     0.00   -12.26    -0.13    -6.73     0.00     0.00     0.00     0.00     6.73     0.13     6.73    12.35    18.91
 13788    26.41  0  2013:043:19:16:19.873 2013:043:19:37:12.846 -+++   44.362  0.173146  0.984805  0.013393  -0.25295001 -0.89023500 -0.21790627  0.30986256  -0.13745969 -0.72211298 -0.23606652  0.63555509     0.00    -0.00     0.00   -14.11     1.23    -5.73     0.00     0.00     0.00     0.00     5.86    -1.23     5.73     1.21    20.68
 15340    33.36  0  2013:044:01:08:22.846 2013:044:01:38:53.227 +-++   87.779 -0.464375 -0.189704 -0.865083  -0.13745969 -0.72211298 -0.23606652  0.63555509   0.09835596 -0.61043913 -0.76568834  0.17723303    -0.00     0.00    -0.00     9.26     4.89    11.95     0.00     0.00     0.00     0.00    12.91    -4.89   -11.95    28.47     5.91
 13919    42.65  0  2013:044:02:16:43.227 2013:044:02:52:37.264 ++++  112.053 -0.044152  0.400366 -0.915291   0.09835596 -0.61043913 -0.76568834  0.17723303  -0.76604942  0.17958251  0.55209840  0.27587273     0.00     0.00     0.00     7.80    -2.45    29.85     0.00     0.00     0.00     0.00    29.95     2.45   -29.85    24.72    12.80
 15272    51.15  0  2013:044:09:20:27.264 2013:044:09:51:43.434 +-+-   91.213 -0.014947 -0.998963 -0.042997  -0.76604942  0.17958251  0.55209840  0.27587273  -0.15028602 -0.10071989  0.92649496  0.32996471    -0.00     0.00     0.00   -20.66     1.22    21.20     0.00     0.00     0.00     0.00    21.24    -1.22   -21.20     1.77    29.94
 14032    41.04  0  2013:044:18:16:13.434 2013:044:18:42:26.494 -+-+   68.480 -0.023305  0.999444 -0.023829  -0.15028602 -0.10071989  0.92649496  0.32996471  -0.64822566  0.08812612  0.67566729  0.33986910     0.00    -0.00     0.00    19.30    -0.21    13.13     0.00     0.00     0.00     0.00    13.14     0.21   -13.13     0.37    27.90
 15612    41.00  0  2013:045:02:35:44.034 2013:045:03:01:57.094 +-+-   68.480  0.023305 -0.999444  0.023829  -0.64822566  0.08812612  0.67566729  0.33986910  -0.15028602 -0.10071989  0.92649496  0.32996471    -0.00     0.00     0.00   -19.30     0.77    13.11     0.00     0.00     0.00     0.00    13.14    -0.77   -13.11     1.15    27.88
 15285    15.97  0  2013:045:11:56:11.634 2013:045:12:25:20.655 -++-   81.677  0.873732  0.027752  0.485615  -0.15028602 -0.10071989  0.92649496  0.32996471   0.02602898  0.50687061  0.86054956  0.04311779    -0.00    -0.00     0.00    -7.39    -0.36    -4.26     0.00     0.00     0.00     0.00     4.27     0.36     4.26    13.80    11.71
 13748    41.52  0  2013:045:13:36:30.655 2013:045:14:03:53.707 ++++   73.729 -0.228343  0.834599 -0.501303   0.02602898  0.50687061  0.86054956  0.04311779  -0.56839335  0.31705714  0.75798943  0.04307894     0.00    -0.00     0.00    12.66   -13.44    15.01     0.00     0.00     0.00     0.00    20.15    13.44   -15.01    10.33    26.51
