Maneuver Error Summary Generated 11-Oct-2010 21:57:14
SBoxMargin =     0.00 asec, 3-sig init roll uncer =    30.00 asec

 obsid MaxErrYZ Seg start_time            stop_time             ssss    angle    X-axis    Y-axis    Z-axis     initQ1      initQ2      initQ3      initQ4       finalQ1     finalQ2     finalQ3     finalQ4     iru-X    iru-Y    iru-Z    aber-X   aber-Y   aber-Z   del-Y    del-Z    delYZ   iruadjYZ totadjYZ syserr.Y syserr.Z ranerr.Y ranerr.Z
 55957    12.89  0  2010:290:13:12:00.000 2010:290:13:37:44.508 -++-   66.338  0.897718 -0.042612  0.438506  -0.57050913  0.01992262 -0.02865422  0.82054943  -0.07042901  0.12034398  0.17638779  0.97439439    -0.00    -0.00     0.00     7.16    -0.15     3.90     0.00     0.00     0.00     0.00     3.91     0.15    -3.90    12.74     5.91
 55956    16.06  0  2010:290:13:49:46.424 2010:290:14:20:16.375 +--+   87.746 -0.907633  0.006625 -0.419713  -0.07042901  0.12034398  0.17638779  0.97439439  -0.69952777 -0.04021601 -0.08090715  0.70887065    -0.00     0.00     0.00   -10.14     0.25    -4.88     0.00     0.00     0.00     0.00     4.88    -0.25     4.88    12.41    11.18
 55955    14.46  0  2010:290:14:41:26.552 2010:290:15:10:35.419 -++-   81.665  0.906070 -0.004549  0.423102  -0.69952777 -0.04021601 -0.08090715  0.70887065  -0.12068688  0.11305195  0.16079563  0.97303582    -0.00    -0.00     0.00     9.82     0.09     4.76     0.00     0.00     0.00     0.00     4.76    -0.09    -4.76    12.67     9.70
 55954    10.40  0  2010:290:15:48:42.465 2010:290:16:12:00.000 -++-   55.315  0.900638  0.028335  0.433646  -0.12068688  0.11305195  0.16079563  0.97303582   0.32053547  0.20444862  0.28943724  0.87845538    -0.00    -0.00     0.00     1.21    -0.03     0.46     0.00     0.00     0.00     0.00     0.46     0.03    -0.46    10.37     5.76
 55953    10.89  0  2010:290:17:07:12.890 2010:290:17:29:51.225 -++-   52.375  0.900052 -0.026118  0.434999   0.32053547  0.20444862  0.28943724  0.87845538   0.67914307  0.22676996  0.34346262  0.60776105    -0.00    -0.00     0.00    -5.67     0.28    -2.44     0.00     0.00     0.00     0.00     2.46    -0.28     2.44    10.61     3.97
 12320    24.47  0  2010:290:22:23:51.296 2010:290:22:46:41.333 -+--   53.253  0.619356  0.573562  0.536120   0.67914307  0.22676996  0.34346262  0.60776105   0.74201772  0.29110515  0.56469662  0.21397484     0.00    -0.00     0.00    -8.57    -6.40    -6.68     0.00     0.00     0.00     0.00     9.25     6.40     6.68     8.61    17.79
 13140     0.33  0  2010:290:23:53:20.639 2010:290:23:57:20.639 ++++    0.147 -0.420745  0.297064 -0.857162   0.74201772  0.29110515  0.56469662  0.21397484   0.74136817  0.29169590  0.56490018  0.21488259     0.00     0.00    -0.00     0.02    -0.01     0.03     0.00     0.00     0.00     0.00     0.03     0.01    -0.03     0.31     0.30
 13141     0.33  0  2010:291:00:51:50.639 2010:291:00:55:50.639 ++++    0.148 -0.420425  0.300317 -0.856185   0.74136817  0.29169590  0.56490018  0.21488259   0.74070950  0.29229179  0.56510795  0.21579607     0.00     0.00    -0.00     0.02    -0.01     0.03     0.00     0.00     0.00     0.00     0.04     0.01    -0.03     0.31     0.30
 13142     0.33  0  2010:291:01:50:20.639 2010:291:01:54:20.639 ++++    0.148 -0.420001  0.303881 -0.855135   0.74070950  0.29229179  0.56510795  0.21579607   0.74004778  0.29288727  0.56531823  0.21670633     0.00     0.00    -0.00     0.02    -0.01     0.03     0.00     0.00     0.00     0.00     0.04     0.01    -0.03     0.31     0.30
 13143     0.33  0  2010:291:02:48:50.639 2010:291:02:52:50.639 ++++    0.148 -0.419511  0.307605 -0.854043   0.74004778  0.29288727  0.56531823  0.21670633   0.73938299  0.29348231  0.56553113  0.21761310     0.00     0.00    -0.00     0.02    -0.01     0.03     0.00     0.00     0.00     0.00     0.04     0.01    -0.03     0.31     0.30
 13144     0.33  0  2010:291:03:47:20.639 2010:291:03:51:20.639 ++++    0.148 -0.418977  0.311402 -0.852928   0.73938299  0.29348231  0.56553113  0.21761310   0.73871515  0.29407693  0.56574671  0.21851624     0.00     0.00    -0.00     0.02    -0.01     0.03     0.00     0.00     0.00     0.00     0.04     0.01    -0.03     0.31     0.30
 13004    28.77  0  2010:291:04:45:50.639 2010:291:05:13:49.939 ++++   76.448 -0.531715  0.023429 -0.846599   0.73871515  0.29407693  0.56574671  0.21851624   0.34620082  0.43502312  0.43744462  0.70678292    -0.00     0.00    -0.00    11.58    -0.19    17.74     0.00     0.00     0.00     0.00    17.74     0.19   -17.74    24.41    11.03
 12330    38.21  0  2010:291:06:41:39.939 2010:291:07:09:29.541 ++++   75.720  0.006893  0.799418 -0.600736   0.34620082  0.43502312  0.43744462  0.70678292  -0.09869371  0.81971784  0.25279827  0.50439593     0.00    -0.00     0.00    16.33     1.17    15.06     0.00     0.00     0.00     0.00    15.11    -1.17   -15.06    17.59    23.15
 11613    48.33  0  2010:292:22:07:49.541 2010:292:22:37:32.811 +-+-   84.245 -0.013066 -0.998691  0.049452  -0.09869371  0.81971784  0.25279827  0.50439593   0.11890086  0.27118649  0.27752578  0.91394744    -0.00     0.00     0.00   -20.46     0.27    18.50     0.00     0.00     0.00     0.00    18.51    -0.27   -18.50     1.16    29.83
 55951     0.30  0  2010:293:01:32:09.953 2010:293:01:36:09.953 ++++    0.000  1.000000  0.000000  0.000000   0.11890086  0.27118649  0.27752578  0.91394744   0.11890086  0.27118649  0.27752578  0.91394744     0.00     0.00     0.00    -0.00     0.00    -0.00     0.00     0.00     0.00     0.00     0.00    -0.00     0.00     0.30     0.30
 55950    14.92  0  2010:293:02:10:14.657 2010:293:02:31:39.953 +-++   46.805 -0.819399 -0.286415 -0.496539   0.11890086  0.27118649  0.27752578  0.91394744  -0.21023929  0.07803520  0.14918152  0.96304456    -0.00     0.00    -0.00    -6.81    -1.83    -1.17     0.00     0.00     0.00     0.00     2.18     1.83     1.17    13.08     2.43
 55949    10.98  0  2010:293:07:57:10.470 2010:293:08:21:43.908 -++-   61.008  0.904401  0.017610  0.426320  -0.21023929  0.07803520  0.14918152  0.96304456   0.27651843  0.18982376  0.29923251  0.89328853    -0.00    -0.00     0.00     2.19     0.03     1.01     0.00     0.00     0.00     0.00     1.01    -0.03    -1.01    10.94     6.43
 11060    44.44  0  2010:293:13:28:34.778 2010:293:13:56:30.648 ++++   76.190 -0.102137  0.975839 -0.193149   0.27651843  0.18982376  0.29923251  0.89328853  -0.04145132  0.70129987  0.30748479  0.64180479     0.00    -0.00     0.00    19.82    -0.38    15.56     0.00     0.00     0.00     0.00    15.56     0.38   -15.56     3.36    28.88
 10981    20.03  0  2010:293:22:21:00.647 2010:293:22:41:21.397 ++++   41.992  0.307211  0.650626 -0.694483  -0.04145132  0.70129987  0.30748479  0.64180479  -0.21424170  0.82788712  0.04050831  0.51678089     0.00    -0.00     0.00    10.22     4.55     0.08     0.00     0.00     0.00     0.00     4.55    -4.55    -0.08    15.48    11.42
 13003    39.73  0  2010:294:01:32:31.397 2010:294:02:07:00.273 +-+-  105.666 -0.074251 -0.940984 -0.330207  -0.21424170  0.82788712  0.04050831  0.51678089  -0.34748028  0.05388358  0.09812373  0.93098107    -0.00     0.00     0.00   -15.14   -27.53     9.06     0.00     0.00     0.00     0.00    28.98    27.53    -9.06    12.20    26.25
 12239    24.70  0  2010:294:03:34:50.273 2010:294:04:13:30.282 +--+  124.501 -0.896328 -0.001726 -0.443387  -0.34748028  0.05388358  0.09812373  0.93098107  -0.92127702 -0.19051864 -0.27635007  0.19642286    -0.00     0.00     0.00   -11.96     0.23    -6.06     0.00     0.00     0.00     0.00     6.07    -0.23     6.07    11.04    18.63
 13011    20.32  0  2010:295:07:16:20.282 2010:295:07:44:20.625 -+--   76.526  0.797764  0.212717  0.564203  -0.92127702 -0.19051864 -0.27635007  0.19642286  -0.65649011  0.06164658 -0.17559181  0.73101843    -0.00    -0.00     0.00     1.32     4.08     3.76     0.00     0.00     0.00     0.00     5.55    -4.08    -3.76    12.56    16.56
 11821    43.48  0  2010:295:09:12:10.625 2010:295:09:44:00.835 -+--   93.766  0.398637  0.323276  0.858243  -0.65649011  0.06164658 -0.17559181  0.73101843  -0.15593182  0.57482321  0.16509812  0.78613368    -0.00    -0.00     0.00    13.30     5.29    22.87     0.00     0.00     0.00     0.00    23.47    -5.29   -22.87    21.57    20.62
 55947     0.30  0  2010:295:17:46:34.482 2010:295:17:50:34.482 ++++    0.000  1.000000  0.000000  0.000000  -0.15593182  0.57482321  0.16509812  0.78613368  -0.15593182  0.57482321  0.16509812  0.78613368     0.00     0.00     0.00     0.00     0.00    -0.00     0.00     0.00     0.00     0.00     0.00    -0.00     0.00     0.30     0.30
 55946    31.11  0  2010:295:17:55:04.482 2010:295:18:21:34.509 ----   69.752  0.324003 -0.827778  0.458046  -0.15593182  0.57482321  0.16509812  0.78613368   0.24641657  0.17091066  0.30865433  0.90266324    -0.00     0.00     0.00   -16.32     3.75    10.72     0.00     0.00     0.00     0.00    11.35    -3.75   -10.72    18.16    20.39
 55945    11.10  0  2010:295:19:39:54.772 2010:295:20:04:33.695 +--+   61.419 -0.904424  0.031055 -0.425504   0.24641657  0.17091066  0.30865433  0.90266324  -0.24709322  0.07224460  0.15207017  0.95425380    -0.00     0.00    -0.00    -1.73     0.33    -1.23     0.00     0.00     0.00     0.00     1.28    -0.33     1.23    10.77     6.85
 55944     1.40  0  2010:296:00:18:33.139 2010:296:00:26:29.936 +--+    5.316 -0.830660 -0.419247 -0.366382  -0.24709322  0.07224460  0.15207017  0.95425380  -0.28185894  0.04355645  0.14327973  0.94769684    -0.00     0.00    -0.00    -0.99    -0.28    -0.23     0.00     0.00     0.00     0.00     0.37     0.28     0.23     1.10     1.17
 13136    29.55  0  2010:296:05:15:48.495 2010:296:05:43:17.592 ++++   74.182 -0.205729  0.917100 -0.341473  -0.28185894  0.04355645  0.14327973  0.94769684  -0.43063157  0.48308231 -0.23136372  0.72640124     0.00    -0.00     0.00     3.45    20.09    -1.55     0.00     0.00     0.00     0.00    20.15   -20.09     1.55     5.75    28.00
 12248    29.66  0  2010:296:17:05:10.482 2010:296:17:28:45.339 +-+-   56.614 -0.169668 -0.881999 -0.439648  -0.43063157  0.48308231 -0.23136372  0.72640124  -0.63505869  0.05033973 -0.13616203  0.75870038    -0.00     0.00    -0.00    -2.01   -15.88    -8.57     0.00     0.00     0.00     0.00    18.04    15.88     8.57    13.03    21.09
 12160    19.61  0  2010:297:02:59:55.339 2010:297:03:26:31.768 +-++   70.232 -0.772584 -0.130885 -0.621276  -0.63505869  0.05033973 -0.13616203  0.75870038  -0.88489187 -0.18238900 -0.31233788  0.29350585    -0.00     0.00    -0.00    -4.66    -0.07    -6.16     0.00     0.00     0.00     0.00     6.16     0.07     6.16    19.55     5.84
 12725    15.55  0  2010:297:04:54:21.767 2010:297:05:20:49.355 +-++   69.569 -0.829570  0.012407 -0.558265  -0.88489187 -0.18238900 -0.31233788  0.29350585   0.80537075  0.28172667  0.44258281  0.27591392    -0.00     0.00    -0.00     5.42    -0.05     3.60     0.00     0.00     0.00     0.00     3.60     0.05    -3.60    15.50     9.40
 11371    35.07  0  2010:297:07:38:39.356 2010:297:08:10:31.813 ++-+   93.934 -0.013353  0.995963 -0.088763   0.80537075  0.28172667  0.44258281  0.27591392   0.20642144  0.44105845  0.87319355  0.01976523     0.00    -0.00     0.00    -6.83   -28.33    -5.22     0.00     0.00     0.00     0.00    28.80    28.33     5.22     2.25    29.85
 11950    31.04  0  2010:297:09:53:21.813 2010:297:10:27:26.364 ----  103.841 -0.374229 -0.214803  0.902115   0.20642144  0.44105845  0.87319355  0.01976523  -0.58233014  0.13512239 -0.64760271  0.47248733    -0.00     0.00     0.00    10.30    -4.26   -12.23     0.00     0.00     0.00     0.00    12.95     4.26    12.23    23.29    18.81
 11951     0.30  0  2010:297:11:05:22.611 2010:297:11:09:22.611 -++-    0.044  1.000000  0.000337  0.000273  -0.58233014  0.13512239 -0.64760271  0.47248733  -0.58214830  0.13487346 -0.64765465  0.47271129     0.00    -0.00     0.00    -0.00     0.00    -0.00     0.00     0.00     0.00     0.00     0.00    -0.00     0.00     0.30     0.30
 11952     0.33  0  2010:297:11:47:12.611 2010:297:11:51:12.611 ----    0.167  0.026446 -0.000030  0.999650  -0.58214830  0.13487346 -0.64765465  0.47271129  -0.58193335  0.13569508 -0.64697159  0.47367518    -0.00     0.00     0.00    -0.00     0.00     0.03     0.00     0.00     0.00     0.00     0.03    -0.00    -0.03     0.31     0.30
 11953     0.34  0  2010:297:12:12:22.611 2010:297:12:16:22.611 ----    0.251 -0.066033  0.000313  0.997817  -0.58193335  0.13569508 -0.64697159  0.47367518  -0.58170387  0.13705805 -0.64591748  0.47500138    -0.00     0.00     0.00    -0.01     0.00     0.04     0.00     0.00     0.00     0.00     0.04    -0.00    -0.04     0.33     0.30
 11954     0.53  0  2010:297:12:37:32.611 2010:297:12:41:32.611 ++++    0.842  0.144544  0.000049 -0.989498  -0.58170387  0.13705805 -0.64591748  0.47500138  -0.58218002  0.13213832 -0.64949997  0.47090941     0.00    -0.00    -0.00     0.02     0.00    -0.14     0.00     0.00     0.00     0.00     0.14    -0.00     0.14     0.53     0.30
